worm,precision,recall,f1_score
sub-20230506-15-01-45_ses-20230506T150145_ophys,0.03350854139070246,0.5151515146311602,0.06292410943656514
sub-20230510-13-25-46_ses-20230510T132546_ophys,0.11822660092698198,0.21238938034301827,0.15189868813693108
sub-20221106-21-47-31_ses-20221106T214731_ophys,0.39999999961904764,0.3589743586675433,0.3783783281835956
sub-20230322-18-57-04_ses-20230322T185704_ophys,0.2499999979166667,0.024999999979166666,0.04545452885675522
sub-20230506-14-24-57_ses-20230506T142457_ophys,0.12936046509747667,0.8557692299463758,0.22474745187672407
sub-20230904-15-59-40_ses-20230904T155940_ophys,0.06682577564835016,0.5957446802172929,0.12017165565676563
sub-20221106-21-23-19_ses-20221106T212319_ophys,0.4022988501123002,0.30973451300023497,0.34999995049500693
sub-20230412-20-15-17_ses-20230412T201517_ophys,0.3333333323232323,0.11702127647125397,0.17322830771902395
sub-20230909-16-48-09_ses-20230909T164809_ophys,0.03344481604791893,0.25641025608152535,0.059171577201435545
sub-20230322-22-43-03_ses-20230322T224303_ophys,0.42857142653061225,0.0756302520372855,0.1285714028877601
sub-20221028-18-48-00_ses-20221028T184800_ophys,0.40816326447313617,0.1886792451050196,0.2580644725577596
sub-20230506-15-33-51_ses-20230506T153351_ophys,0.05414551606528841,0.31067961134885475,0.09221899486874598
sub-20230322-21-41-10_ses-20230322T214110_ophys,0.38888888672839506,0.06603773578675685,0.11290320080645698
sub-20230322-20-16-50_ses-20230322T201650_ophys,0.4666666658888889,0.2276422762376892,0.3060108845531432
sub-20230510-15-49-47_ses-20230510T154947_ophys,0.15231788069382923,0.2149532708271465,0.17829452495945078
sub-20230506-12-56-00_ses-20230506T125600_ophys,0.17534246570538561,0.6336633657092442,0.2746780775175492
sub-20221106-21-00-09_ses-20221106T210009_ophys,0.5111111099753086,0.19827586189803806,0.2857142450831429
sub-20221215-20-02-49_ses-20221215T200249_ophys,0.4210526304709141,0.12121212112029385,0.18823525918339737
sub-20230904-15-09-05_ses-20230904T150905_ophys,0.3417266185821127,0.7089552233515259,0.4611650044278484
sub-20230510-12-53-34_ses-20230510T125334_ophys,0.040789473678843495,0.26956521715689985,0.07085712000993388
sub-20230904-14-30-52_ses-20230904T143052_ophys,0.0813823857211391,0.5251798557372807,0.14092661766577358
