,Filename,Best_template,top1,top2,top3,top4,top5
0,6,7_YAaLR,0.5223880597014925,0.582089552238806,0.7014925373134329,0.7910447761194029,0.8208955223880597
1,7,38_YAaDV,0.4461538461538462,0.6,0.676923076923077,0.7538461538461538,0.8461538461538461
2,2022-12-21-06,2023-01-05-18,0.46296296296296297,0.5740740740740741,0.5925925925925926,0.6111111111111112,0.6296296296296297
3,20221106-21-00-09,2022-06-14-13,0.21212121212121213,0.36363636363636365,0.3939393939393939,0.45454545454545453,0.5454545454545454
4,20230322-20-16-50,20230904-15-09-05,0.25,0.36363636363636365,0.4772727272727273,0.5,0.5909090909090909
5,5,20190924_03,0.4375,0.59375,0.65625,0.71875,0.71875
6,2023-01-06-08,20190928_13,0.4444444444444444,0.5277777777777778,0.5694444444444444,0.6388888888888888,0.6805555555555556
7,4,38_YAaDV,0.3492063492063492,0.5079365079365079,0.6349206349206349,0.6984126984126984,0.7301587301587301
8,20230918-17-21-0,20190928_11,0.34615384615384615,0.5064102564102564,0.5705128205128205,0.6153846153846154,0.6730769230769231
9,2021-12-03-w00-NP1,76_YAaDV,0.631578947368421,0.6842105263157895,0.7368421052631579,0.8070175438596491,0.8947368421052632
10,20221106-21-47-31,20230904-14-30-52,0.49056603773584906,0.5849056603773585,0.6037735849056604,0.6792452830188679,0.7358490566037735
11,20230322-22-43-03,6,0.11904761904761904,0.42857142857142855,0.42857142857142855,0.47619047619047616,0.5
12,20230506-12-56-00,20221215-20-02-49,0.3191489361702128,0.3617021276595745,0.46808510638297873,0.46808510638297873,0.46808510638297873
13,20230506-14-24-57,20221215-20-02-49,0.3333333333333333,0.45098039215686275,0.49019607843137253,0.5490196078431373,0.5490196078431373
14,1,20190924_03,0.4032258064516129,0.5645161290322581,0.6774193548387096,0.6935483870967742,0.7258064516129032
15,38_YAaDV,64_YAaDV,0.6455026455026455,0.798941798941799,0.8412698412698413,0.8624338624338624,0.8835978835978836
16,2023-01-16-08,2023-01-05-18,0.5,0.6176470588235294,0.6617647058823529,0.6764705882352942,0.6911764705882353
17,20230510-13-25-46,20230506-14-24-57,0.10869565217391304,0.30434782608695654,0.3695652173913043,0.43478260869565216,0.45652173913043476
18,56_YAaDV,55_YAaDV,0.6157894736842106,0.7789473684210526,0.8368421052631579,0.8631578947368421,0.8736842105263158
19,20190928_08,20191030_03,0.3879781420765027,0.5191256830601093,0.6010928961748634,0.6502732240437158,0.6994535519125683
20,3,9,0.734375,0.796875,0.8125,0.8125,0.84375
21,2023-01-16-22,20230918-17-21-0,0.358974358974359,0.46153846153846156,0.5512820512820513,0.6282051282051282,0.6666666666666666
22,2,20190925_01,0.4482758620689655,0.5172413793103449,0.5689655172413793,0.6724137931034483,0.7068965517241379
23,2023-01-13-07,20190928_05,0.3055555555555556,0.3611111111111111,0.4861111111111111,0.5138888888888888,0.5555555555555556
24,20191104_10,20190928_11,0.5459770114942529,0.6839080459770115,0.7586206896551724,0.7816091954022989,0.8103448275862069
25,20190929_06,20190929_07,0.4057142857142857,0.5142857142857142,0.6171428571428571,0.6742857142857143,0.6914285714285714
26,20230928-14-27-0,20190929_07,0.34415584415584416,0.487012987012987,0.577922077922078,0.6428571428571429,0.6883116883116883
27,64_YAaDV,55_YAaDV,0.6984126984126984,0.7883597883597884,0.8412698412698413,0.8677248677248677,0.8835978835978836
28,2023-01-23-15,2023-01-09-15,0.5641025641025641,0.6282051282051282,0.6410256410256411,0.6794871794871795,0.7051282051282052
29,20190929_07,20190928_05,0.32386363636363635,0.4602272727272727,0.5397727272727273,0.5965909090909091,0.6136363636363636
30,2023-01-17-07,2023-01-09-15,0.5189873417721519,0.7088607594936709,0.7468354430379747,0.7974683544303798,0.810126582278481
31,20191030_03,20231013-11-11-0,0.35714285714285715,0.46153846153846156,0.5494505494505495,0.6098901098901099,0.6538461538461539
32,20190929_05,20191104_10,0.5297619047619048,0.6488095238095238,0.7321428571428571,0.7678571428571429,0.8095238095238095
33,2022-03-05-w00-NP1,55_YAaDV,0.5192307692307693,0.5961538461538461,0.6538461538461539,0.6538461538461539,0.6538461538461539
34,20190925_04,20190928_05,0.3409090909090909,0.4772727272727273,0.5511363636363636,0.5965909090909091,0.6420454545454546
35,11_YAaLR,20190924_01,0.44041450777202074,0.5544041450777202,0.6321243523316062,0.6839378238341969,0.7253886010362695
36,76_YAaDV,55_YAaDV,0.6861702127659575,0.7712765957446809,0.824468085106383,0.8457446808510638,0.8670212765957447
37,2022-07-15-12,20230928-16-0-0,0.34375,0.453125,0.5625,0.578125,0.640625
38,20191030_07,20190928_11,0.49714285714285716,0.6171428571428571,0.6914285714285714,0.7085714285714285,0.7542857142857143
39,20190925_01,20190928_07,0.32222222222222224,0.5111111111111111,0.5833333333333334,0.6722222222222223,0.7055555555555556
40,2023-01-17-01,20190925_04,0.3855421686746988,0.5060240963855421,0.5542168674698795,0.5783132530120482,0.6144578313253012
41,20230928-11-14-0,20190929_02,0.2611464968152866,0.37579617834394907,0.4267515923566879,0.5031847133757962,0.5222929936305732
42,2023-01-09-15,20190928_07,0.37894736842105264,0.5263157894736842,0.6210526315789474,0.6421052631578947,0.6736842105263158
43,20190929_03,20230928-14-27-0,0.2742857142857143,0.35428571428571426,0.4057142857142857,0.4685714285714286,0.5257142857142857
44,20231013-11-11-0,20230928-16-0-0,0.3558282208588957,0.49693251533742333,0.5460122699386503,0.5766871165644172,0.6380368098159509
45,20190929_02,2023-01-16-22,0.20121951219512196,0.23780487804878048,0.2621951219512195,0.27439024390243905,0.2926829268292683
46,20221028-18-48-00,20190929_02,0.13636363636363635,0.29545454545454547,0.38636363636363635,0.4318181818181818,0.45454545454545453
47,2023-01-19-08,4,0.2545454545454545,0.36363636363636365,0.38181818181818183,0.43636363636363634,0.4727272727272727
48,2023-01-23-21,20191030_03,0.2926829268292683,0.4146341463414634,0.524390243902439,0.573170731707317,0.6951219512195121
49,2022-02-12-w01-NP1,7_YAaLR,0.6349206349206349,0.7777777777777778,0.7777777777777778,0.8253968253968254,0.8412698412698413
50,20230909-16-48-09,20191030_03,0.4444444444444444,0.5277777777777778,0.5555555555555556,0.5833333333333334,0.6388888888888888
51,2023-01-05-18,20190929_02,0.2682926829268293,0.3780487804878049,0.43902439024390244,0.5121951219512195,0.5487804878048781
52,2023-01-23-08,2023-01-16-15,0.5645161290322581,0.6290322580645161,0.6935483870967742,0.7096774193548387,0.7096774193548387
53,2023-01-10-07,20190928_05,0.21951219512195122,0.32926829268292684,0.3902439024390244,0.4634146341463415,0.4878048780487805
54,20221215-20-02-49,20221106-21-23-19,0.203125,0.3125,0.359375,0.421875,0.4375
55,2022-06-14-01,2022-06-28-01,0.3090909090909091,0.4727272727272727,0.5454545454545454,0.5818181818181818,0.6
56,2022-02-11-w03-NP1,20190928_01,0.627906976744186,0.7906976744186046,0.8372093023255814,0.8604651162790697,0.9302325581395349
57,20230904-15-09-05,20190929_02,0.24358974358974358,0.3717948717948718,0.47435897435897434,0.5384615384615384,0.5641025641025641
58,20230928-16-0-0,20190929_05,0.38666666666666666,0.6,0.6133333333333333,0.64,0.66
59,20230510-15-49-47,20190929_06,0.3023255813953488,0.46511627906976744,0.5581395348837209,0.5813953488372093,0.6511627906976745
60,2023-01-09-22,20190929_02,0.3026315789473684,0.40789473684210525,0.5263157894736842,0.5789473684210527,0.631578947368421
61,2022-02-22-w04-NP1,2023-01-09-15,0.5416666666666666,0.6458333333333334,0.7083333333333334,0.7916666666666666,0.8125
62,20191104_08,20190928_03,0.4745762711864407,0.5480225988700564,0.615819209039548,0.6610169491525424,0.672316384180791
63,2022-02-12-w00-NP1,20190928_01,0.55,0.65,0.7666666666666667,0.85,0.85
64,2022-06-14-07,20230510-13-25-46,0.10869565217391304,0.1956521739130435,0.2391304347826087,0.2826086956521739,0.2826086956521739
65,2022-06-14-13,20230918-17-21-0,0.1323529411764706,0.27941176470588236,0.4117647058823529,0.5294117647058824,0.5294117647058824
66,20230506-15-33-51,2023-01-23-21,0.4318181818181818,0.5227272727272727,0.5909090909090909,0.6136363636363636,0.6590909090909091
67,20230322-18-57-04,2022-06-28-01,0.06521739130434782,0.10869565217391304,0.2391304347826087,0.2826086956521739,0.2826086956521739
68,2022-06-28-01,20231013-11-11-0,0.22033898305084745,0.3728813559322034,0.4067796610169492,0.423728813559322,0.4915254237288136
69,20_YAaLR,56_YAaDV,0.6822916666666666,0.7552083333333334,0.8020833333333334,0.8333333333333334,0.84375
70,2022-04-01-w00-NP1,20190928_07,0.6363636363636364,0.8409090909090909,0.8636363636363636,0.8636363636363636,0.8863636363636364
71,2023-03-07-01,2022-07-15-12,0.31666666666666665,0.48333333333333334,0.5166666666666667,0.6333333333333333,0.6666666666666666
72,20230904-15-59-40,20230322-18-57-04,0.25,0.32142857142857145,0.4107142857142857,0.44642857142857145,0.5
73,20230918-13-21-0,20230918-17-21-0,0.3221476510067114,0.42953020134228187,0.5234899328859061,0.6174496644295302,0.6442953020134228
74,20190928_05,20190929_02,0.3353658536585366,0.4817073170731707,0.5365853658536586,0.6219512195121951,0.6585365853658537
75,20190928_11,20190928_03,0.536723163841808,0.6384180790960452,0.6949152542372882,0.7231638418079096,0.751412429378531
76,20190928_07,20190929_07,0.4972067039106145,0.5921787709497207,0.664804469273743,0.6927374301675978,0.7262569832402235
77,20190928_13,20230928-14-27-0,0.32,0.42857142857142855,0.5542857142857143,0.6,0.6457142857142857
78,62_YAaLR,55_YAaDV,0.6290322580645161,0.7311827956989247,0.8064516129032258,0.8225806451612904,0.8387096774193549
79,20230510-12-53-34,20190929_06,0.4489795918367347,0.5306122448979592,0.5510204081632653,0.5714285714285714,0.5918367346938775
80,2023-01-06-01,2022-07-15-12,0.3787878787878788,0.48484848484848486,0.5454545454545454,0.5757575757575758,0.5757575757575758
81,7_YAaLR,62_YAaLR,0.601063829787234,0.7127659574468085,0.7712765957446809,0.8031914893617021,0.8297872340425532
82,2023-01-18-01,2023-01-09-15,0.6282051282051282,0.7435897435897436,0.782051282051282,0.782051282051282,0.7948717948717948
83,20230506-15-01-45,20190929_02,0.2727272727272727,0.42424242424242425,0.48484848484848486,0.5151515151515151,0.6363636363636364
84,2022-04-26-w00-NP1,2023-01-17-01,0.47368421052631576,0.6052631578947368,0.6842105263157895,0.7105263157894737,0.7105263157894737
85,55_YAaDV,20190928_08,0.4739583333333333,0.6197916666666666,0.671875,0.7239583333333334,0.7552083333333334
86,9,76_YAaDV,0.5882352941176471,0.6470588235294118,0.7647058823529411,0.7941176470588235,0.8235294117647058
87,20190924_02,20191030_03,0.5056818181818182,0.6761363636363636,0.7386363636363636,0.7613636363636364,0.8011363636363636
88,2022-07-20-01,2023-01-05-18,0.3116883116883117,0.37662337662337664,0.4025974025974026,0.44155844155844154,0.4935064935064935
89,20221106-21-23-19,20221215-20-02-49,0.28,0.4,0.46,0.48,0.56
90,20190924_03,20190928_11,0.3967391304347826,0.5380434782608695,0.6195652173913043,0.6684782608695652,0.6956521739130435
91,2023-01-16-01,20230928-16-0-0,0.36363636363636365,0.5324675324675324,0.5844155844155844,0.6103896103896104,0.6753246753246753
92,8,7_YAaLR,0.5303030303030303,0.6666666666666666,0.696969696969697,0.7727272727272727,0.803030303030303
93,2023-01-16-15,2022-07-20-01,0.34285714285714286,0.4142857142857143,0.4857142857142857,0.5571428571428572,0.5714285714285714
94,2022-04-26-w01-NP1,2022-07-20-01,0.3,0.5,0.65,0.675,0.725
95,20190928_03,20190928_07,0.437125748502994,0.5508982035928144,0.6347305389221557,0.7065868263473054,0.718562874251497
96,20190928_01,20191030_07,0.4378698224852071,0.5266272189349113,0.5798816568047337,0.6272189349112426,0.6804733727810651
97,20230904-14-30-52,20221106-21-23-19,0.36585365853658536,0.4146341463414634,0.43902439024390244,0.45121951219512196,0.47560975609756095
98,20230322-21-41-10,4,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.6470588235294118,0.6470588235294118
99,20190924_01,20190929_03,0.35,0.55,0.6388888888888888,0.6722222222222223,0.7055555555555556
100,20231013-13-28-0,20230918-9-54-0,0.38311688311688313,0.512987012987013,0.5584415584415584,0.6558441558441559,0.6623376623376623
101,70_YAaLR,20_YAaLR,0.6994818652849741,0.7461139896373057,0.7979274611398963,0.844559585492228,0.8601036269430051
102,2022-01-22-w04-NP1,20190928_07,0.625,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.8541666666666666
103,20230918-9-54-0,20230918-17-21-0,0.38666666666666666,0.4533333333333333,0.5466666666666666,0.5866666666666667,0.6333333333333333
