worm,precision,recall,f1_score
sub-20190928-13_ses-20190928_ophys,0.7445255469018062,0.5828571425240816,0.6538461041687249
sub-20190928-11_ses-20190928_ophys,0.24806201531157984,0.1767955800128201,0.20645156417691052
sub-20191030-03_ses-20191030_ophys,0.42727272688429757,0.25405405391672753,0.31864402081241716
sub-20190929-02_ses-20190929_ophys,0.3986486483792915,0.35542168653287853,0.3757961282689019
sub-20190929-05_ses-20190929_ophys,0.4901960779507882,0.29411764688581316,0.3676470116782067
sub-20190928-03_ses-20190928_ophys,0.23497267746722805,0.25595238080002836,0.24501419496596014
sub-20190928-07_ses-20190928_ophys,0.7472527464315905,0.37777777756790126,0.5018449734725874
sub-20191030-07_ses-20191030_ophys,0.42477876068603654,0.2666666665185185,0.32764500358537185
sub-20190929-03_ses-20190929_ophys,0.6744186041283577,0.4887640446692337,0.5667751952041974
sub-20191104-08_ses-20191104_ophys,0.362068965205113,0.23463687137729786,0.2847457147992037
sub-20190924-01_ses-20190924_ophys,0.34234234203392583,0.2099447512652239,0.2602739252979069
sub-20190929-06_ses-20190929_ophys,0.38686131358623266,0.2977528088214872,0.3365078871413527
sub-20190928-01_ses-20190928_ophys,0.6730769224297337,0.4069767439494321,0.5072463294791054
sub-20190929-07_ses-20190929_ophys,0.5886075945641724,0.5254237285167098,0.5552238304263801
sub-20190925-01_ses-20190925_ophys,0.5865384609744823,0.33152173895025994,0.4236110646749665
sub-20190924-02_ses-20190924_ophys,0.7979797971737578,0.44382022446976394,0.5703970655684328
sub-2022-04-26-w01-NP1_ses-20220426_ophys,0.15695067257535844,0.19444444433641975,0.17369722095451784
sub-2022-03-05-w00-NP1_ses-20220305_ophys,0.044943820207886204,0.07142857138605442,0.05517236635755163
sub-2022-02-12-w00-NP1_ses-20220212_ophys,0.26315789459833794,0.2857142855510204,0.2739725526740568
sub-2022-02-11-w03-NP1_ses-20220211_ophys,0.4642857140784439,0.6190476186791384,0.5306121956476513
sub-2022-02-22-w04-NP1_ses-20220222_ophys,0.023255813942671715,0.028735632167393315,0.025706891416355897
sub-2022-04-01-w00-NP1_ses-20220401_ophys,0.17877094962079837,0.19277108422122224,0.1855071963402781
sub-2022-04-26-w00-NP1_ses-20220426_ophys,0.39459459438130023,0.40555555533024695,0.3999999497902108
sub-2022-01-22-w04-NP1_ses-20220122_ophys,0.47393364906448643,0.5882352937716263,0.5249343335055605
sub-230928-03_ses-20230928T142700_ophys,0.3862433860390247,0.47402597371816496,0.42565592694881116
sub-231013-01_ses-20231013T093000_ophys,0.2325581393546061,0.19354838697190427,0.21126755590409813
sub-230928-02_ses-20230928T111400_ophys,0.2524271842209445,0.16560509543592034,0.19999995200297005
sub-2308918-03_ses-20230918T132100_ophys,0.2587412585603208,0.24832214748434756,0.2534246073817888
sub-231013-02_ses-20231013T111100_ophys,0.3096774191550468,0.2944785274267003,0.30188674229461687
sub-2308918-01_ses-20230918T095400_ophys,0.20382165592113272,0.2133333331911111,0.20846900526478937
sub-231013-03_ses-20231013T132800_ophys,0.5802469132220698,0.6103896099932535,0.5949366585162676
sub-11-YAaLR_ophys,0.3499999999078947,0.6855670099558934,0.463414589235032
sub-7-YAaLR_ophys,0.14155251135088928,0.16145833324924044,0.15085153165090648
sub-38-YAaDV_ophys,0.5499999996944445,0.5051020405586214,0.5265956944912903
sub-64-YAaDV_ophys,0.39999999983333334,0.49999999973958337,0.44444439485597265
sub-20-YAaLR_ophys,0.29279279266090413,0.3350515462190456,0.31249995007628384
sub-70-YAaLR_ophys,0.45238095220143615,0.5906735748234853,0.5123595012104579
sub-76-YAaDV_ophys,0.5743243239362674,0.4404145075438267,0.4985336749185213
sub-56-YAaDV_ophys,0.6510416663275825,0.637755101715431,0.6443298465804056
sub-62-YAaLR_ophys,0.6791443846635592,0.6719576716021388,0.67553186453571
