,real_X,real_Y,real_Z,real_R,real_G,real_B,aligned_x,aligned_y,aligned_z,aligned_R,aligned_G,aligned_B,ID
0,63.690000000000005,57.09,19.0,6.897034522740672,31.543713747888848,4.715376001636371,25.21522306677682,137.9053468208642,18.39169229205017,6.897034522740672,31.543713747888848,4.715376001636371,OLQDL
1,64.35000000000001,58.410000000000004,11.0,4.519138026569633,27.185028087135247,3.986188474597731,17.07186617237569,136.64771729463723,18.283079106800276,4.519138026569633,27.185028087135247,3.986188474597731,OLQDR
2,65.34,58.410000000000004,14.0,0.15699461847868212,2.9477771431635373,10.915025053740388,20.125025578114517,136.06271812246362,18.148357780529395,0.15699461847868212,2.9477771431635373,10.915025053740388,RMED
3,67.98,52.800000000000004,22.0,4.6106671359512745,3.1565385753912136,18.311797017624787,28.553307636805844,134.87551809729644,21.129972422041504,4.6106671359512745,3.1565385753912136,18.311797017624787,RMEL
4,68.31,50.82,7.0,3.7671854653489047,3.138533510140808,18.311514277211046,13.493946757908994,133.56423332558234,23.491857949815273,3.7671854653489047,3.138533510140808,18.311514277211046,RMER
5,69.3,44.88,22.0,19.900865306839847,31.543713747888848,5.244100575332476,28.984139143444875,134.30985674880716,25.973783852633122,19.900865306839847,31.543713747888848,5.244100575332476,OLQVL
6,67.32000000000001,42.9,9.0,3.8996422252670535,21.776209161236366,1.5783711111773906,15.90098090449139,135.06549170625328,27.9594595396301,3.8996422252670535,21.776209161236366,1.5783711111773906,OLQVR
7,73.26,42.9,20.0,24.25556732392416,9.889459732272625,15.245759971014854,27.14197191966462,131.0095576037353,27.688233494730202,24.25556732392416,9.889459732272625,15.245759971014854,CEPVL
8,76.56,42.57,13.0,24.255195254373827,5.447074849273897,5.294145628564674,20.146679681127218,127.75563761771498,28.74007462025821,24.255195254373827,5.447074849273897,5.294145628564674,CEPVR
9,65.01,44.88,22.0,8.432193487410006,6.801347730135488,18.311797017624787,28.898574640059007,137.85874000487246,25.56010128569787,8.432193487410006,6.801347730135488,18.311797017624787,URYVL
10,65.01,37.29,19.0,24.25556732392416,5.619826151000762,1.259722664891021,26.252810524119386,138.12913956782498,30.31029045302064,24.25556732392416,5.619826151000762,1.259722664891021,IL1VL
11,65.01,35.64,13.0,24.25556732392416,2.119057518259732,0.546651341435631,20.27025468171668,137.77083819613412,31.753272789179157,24.25556732392416,2.119057518259732,0.546651341435631,IL1VR
12,57.42,54.78,18.0,24.25556732392416,7.220817088131425,3.9485839995701473,24.197009660846735,143.16768986247823,19.239461129632836,24.25556732392416,7.220817088131425,3.9485839995701473,IL1DL
13,59.400000000000006,55.440000000000005,12.0,24.25556732392416,4.935147048100202,2.2015309830630683,18.135964803951136,141.01793740959917,19.49772090594849,24.25556732392416,4.935147048100202,2.2015309830630683,IL1DR
14,69.63000000000001,49.17,22.0,0.6719388761380027,0.6767058046866975,0.4564571494521777,28.77161471278888,133.75178508353065,23.45082149146997,0.6719388761380027,0.6767058046866975,0.4564571494521777,BAGL
15,56.760000000000005,50.49,22.0,7.758747601309303,31.5432271245037,18.311797017624787,28.44750387477532,144.31071773000988,21.423686376177667,7.758747601309303,31.5432271245037,18.311797017624787,OLLL
16,58.410000000000004,49.17,7.0,0.1875043216058962,12.767837055411796,18.311514277211046,13.380761871453846,141.8636103186481,23.51981514038055,0.1875043216058962,12.767837055411796,18.311514277211046,OLLR
17,59.730000000000004,49.5,25.0,18.482164111424392,12.145445745809937,1.110718466849391,31.590717585661128,142.15356028093976,22.069461026280266,18.482164111424392,12.145445745809937,1.110718466849391,IL2L
18,47.190000000000005,54.45,21.0,14.878298446909811,9.178502966574177,0.09115653489850462,27.043239312771124,151.886314640443,18.219322635768307,14.878298446909811,9.178502966574177,0.09115653489850462,IL2DL
19,49.830000000000005,54.78,10.0,13.456992764642033,5.351696665785262,0.1587314937826593,15.956522972405647,148.82255295040122,19.121391960917077,13.456992764642033,5.351696665785262,0.1587314937826593,IL2DR
20,61.38,54.120000000000005,20.0,6.249633505163202,6.949281239219902,18.311797017624787,26.331976777358957,140.0916387782475,19.860907978543143,6.249633505163202,6.949281239219902,18.311797017624787,URYDL
21,61.71,52.470000000000006,9.0,7.350959374145564,8.069488271826218,18.311514277211046,15.300313234646552,139.07038990866204,21.719356273995047,7.350959374145564,8.069488271826218,18.311514277211046,URYDR
22,62.370000000000005,37.620000000000005,22.0,23.593283524333415,16.1722542578939,0.4035846920825671,29.21671486426003,140.5251123318928,29.62900817802906,23.593283524333415,16.1722542578939,0.4035846920825671,IL2VL
23,61.050000000000004,32.01,13.0,7.896413334932099,2.6154133711087524,0.035739413805222935,20.376669714810504,141.28795251722295,33.53315234799999,7.896413334932099,2.6154133711087524,0.035739413805222935,IL2VR
24,61.71,47.52,21.0,0.8077442620091386,0.5010347626489561,1.3550061843218164,27.686783218551643,140.335224662773,23.74643794221888,0.8077442620091386,0.5010347626489561,1.3550061843218164,IL1L
25,81.84,54.78,25.0,24.25556732392416,18.154757928979105,18.311514277211046,31.76203456091836,123.51229347435188,21.05716767484658,24.25556732392416,18.154757928979105,18.311514277211046,RMDVL
26,84.81,53.79,22.0,24.255195254373827,22.4204985231698,18.311797017624787,28.838420769581525,120.88718825144505,22.163315392999525,24.255195254373827,22.4204985231698,18.311797017624787,AVAL
27,89.43,51.480000000000004,20.0,24.25556732392416,31.543713747888848,18.311514277211046,27.026271647516925,117.06283634740768,24.137930360554428,24.25556732392416,31.543713747888848,18.311514277211046,AVEL
28,87.45,50.82,22.0,24.255195254373827,14.577589424770135,18.311797017624787,29.042764836264098,118.90062361772891,24.18658596293901,24.255195254373827,14.577589424770135,18.311797017624787,RMDL
29,80.52000000000001,53.13,5.0,24.25556732392416,2.2767234950470683,1.8164385395475087,11.59722034049281,123.154078042498,23.44706689278351,24.25556732392416,2.2767234950470683,1.8164385395475087,RMDVR
30,84.48,50.82,5.0,17.140481312927637,18.354273516889005,18.311797017624787,11.794183282750751,120.0316907691342,25.204580699152114,17.140481312927637,18.354273516889005,18.311797017624787,AVAR
31,86.13000000000001,51.480000000000004,9.0,24.25556732392416,28.654144086891318,18.311514277211046,15.837935711350386,118.93484229234703,24.663730292799094,24.25556732392416,28.654144086891318,18.311514277211046,AVER
32,88.77000000000001,54.78,22.0,0.21168884237746835,1.279145555497567,18.311514277211046,28.8668403921996,117.54550817378956,21.955610663151777,0.21168884237746835,1.279145555497567,18.311514277211046,AFDL
