worm,precision,recall,f1_score
sub-20190928-05_ses-20190928_ophys,0.4598540142628803,0.3662790695544889,0.4077669406688302
sub-20190928-08_ses-20190928_ophys,0.5185185178783722,0.22950819659589716,0.31818177540462
sub-20190928-13_ses-20190928_ophys,0.6999999995,0.55999999968,0.6222221724444482
sub-20190928-11_ses-20190928_ophys,0.29914529888961944,0.193370165639022,0.23489928100762195
sub-20190929-05_ses-20190929_ophys,0.49382715988416404,0.23529411750865054,0.3187250556340436
sub-20190928-03_ses-20190928_ophys,0.3241379308109394,0.2797619045953798,0.30031943889598556
sub-20190928-07_ses-20190928_ophys,0.741176469716263,0.3499999998055556,0.4754716541801392
sub-20191030-07_ses-20191030_ophys,0.4144144140410681,0.25555555541358027,0.3161511553430002
sub-20190929-03_ses-20190929_ophys,0.6859504126562394,0.4662921345694988,0.5551838979340317
sub-20190925-04_ses-20190925_ophys,0.30973451300023497,0.1977401128826327,0.24137926261356465
sub-20190924-03_ses-20190924_ophys,0.37037036991312305,0.15957446800022634,0.2230482848827487
sub-20190924-01_ses-20190924_ophys,0.29565217365595464,0.18784530376362138,0.2297296820603641
sub-20190929-06_ses-20190929_ophys,0.37956204351856787,0.2921348312965535,0.3301586807961777
sub-20190928-01_ses-20190928_ophys,0.6857142850612246,0.4186046509194159,0.5198555482177577
sub-20190929-07_ses-20190929_ophys,0.7024793382624138,0.48022598842925085,0.5704697500405428
sub-20190925-01_ses-20190925_ophys,0.626506023341559,0.28260869549858225,0.38951306547714704
sub-20191104-10_ses-20191104_ophys,0.5158730154635929,0.3735632181761131,0.43333328432444995
sub-2022-04-26-w01-NP1_ses-20220426_ophys,0.11002444985084976,0.24999999986111113,0.15280131574048295
sub-2022-02-12-w00-NP1_ses-20220212_ophys,0.2486772485456734,0.26857142841795917,0.2582417081738413
sub-2022-02-11-w03-NP1_ses-20220211_ophys,0.5409090906632231,0.7083333329117064,0.6134020124375638
sub-2022-02-22-w04-NP1_ses-20220222_ophys,0.01709401708671196,0.022988505733914654,0.019607794209080133
sub-2022-04-01-w00-NP1_ses-20220401_ophys,0.14634146335514575,0.21686746974887502,0.1747572333537695
sub-2022-04-26-w00-NP1_ses-20220426_ophys,0.30638297859302854,0.3999999997777778,0.3469879025182245
sub-2022-02-12-w01-NP1_ses-20220212_ophys,0.4261363633942407,0.41899441317374614,0.4225351610331343
sub-2021-12-03-w00-NP1_ses-20211203_ophys,0.45985401443071017,0.7325581391089778,0.5650223738864685
sub-230928-03_ses-20230928T142700_ophys,0.344497607490671,0.46753246722887504,0.39669416580531686
sub-230928-02_ses-20230928T111400_ophys,0.2844827583754459,0.2101910826686681,0.2417581927088883
sub-2308918-03_ses-20230918T132100_ophys,0.2440476189023526,0.275167785050223,0.25867502888078264
sub-230928-04_ses-20230928T160000_ophys,0.18974358964628535,0.24666666650222224,0.21449270434951767
sub-231013-02_ses-20231013T111100_ophys,0.30601092879452957,0.343558281997817,0.3236993719452782
sub-2308918-04_ses-20230918T172100_ophys,0.5095238092811791,0.685897435457758,0.5846994043208258
sub-231013-03_ses-20231013T132800_ophys,0.4873096444226855,0.6233766229718334,0.5470084974472654
sub-11-YAaLR_ophys,0.33940774479740143,0.7680412367175046,0.4707740489686553
sub-7-YAaLR_ophys,0.0985915492610593,0.1458333332573785,0.1176470106419235
sub-38-YAaDV_ophys,0.48401826461916975,0.5408163262546856,0.5108433234013693
sub-64-YAaDV_ophys,0.33944954118059645,0.5781249996988932,0.4277456179580614
sub-55-YAaDV_ophys,0.08823529408881199,0.1406249999267578,0.10843368751635107
sub-20-YAaLR_ophys,0.24999999991554053,0.3814432987724519,0.3020407683698535
sub-70-YAaLR_ophys,0.3226666665806222,0.6269430048565062,0.4260562930116839
sub-56-YAaDV_ophys,0.4925373132490532,0.6734693874114952,0.5689654682000636
sub-62-YAaLR_ophys,0.572016460669952,0.7354497350606086,0.643518469001847
