worm,precision,recall,f1_score
sub-20230506-15-01-45_ses-20230506T150145_ophys,0.1396648044432654,0.7575757568105296,0.2358490302435653
sub-20230510-13-25-46_ses-20230510T132546_ophys,0.2305764410449683,0.8141592913149033,0.35937496546097125
sub-20221106-21-47-31_ses-20221106T214731_ophys,0.24734042546613286,0.7948717941924173,0.3772819109085033
sub-20230322-18-57-04_ses-20230322T185704_ophys,0.4185022024588096,0.7916666660069445,0.5475503867152824
sub-20230506-14-24-57_ses-20230506T142457_ophys,0.2071611252667107,0.7788461530972633,0.3272726939487841
sub-20230904-15-59-40_ses-20230904T155940_ophys,0.16317016313212815,0.7446808502716161,0.267686394886103
sub-20221106-21-23-19_ses-20221106T212319_ophys,0.3103448274791914,0.7964601762863185,0.4466500834929134
sub-20230412-20-15-17_ses-20230412T201517_ophys,0.21021021014708402,0.7446808502716161,0.3278688179697177
sub-20230909-16-48-09_ses-20230909T164809_ophys,0.17663817658785236,0.7948717938527285,0.28904425915747334
sub-20230322-22-43-03_ses-20230322T224303_ophys,0.37295081951928244,0.7647058817103313,0.5013773661210187
sub-20221028-18-48-00_ses-20221028T184800_ophys,0.3307692306420118,0.8113207539515842,0.46994531378662013
sub-20230506-15-33-51_ses-20230506T153351_ophys,0.07973733582741675,0.8252427176453955,0.14542342274249187
sub-20230322-21-41-10_ses-20230322T214110_ophys,0.27213114745176026,0.7830188671858312,0.4038929055641431
sub-20230322-20-16-50_ses-20230322T201650_ophys,0.3870967740151628,0.6829268287130676,0.49411760058996973
sub-20230510-15-49-47_ses-20230510T154947_ophys,0.2156862744493876,0.7196261675517512,0.3318965160959833
sub-20230506-12-56-00_ses-20230506T125600_ophys,0.19893899198967135,0.7425742566905206,0.3138074979193327
sub-20221106-21-00-09_ses-20221106T210009_ophys,0.329861110996576,0.8189655165353746,0.4702969885329905
sub-20221215-20-02-49_ses-20221215T200249_ophys,0.2229437228954667,0.7803030297118917,0.3468013121166808
sub-20230904-15-09-05_ses-20230904T150905_ophys,0.21936758888945304,0.8283582083370461,0.34687496678418284
sub-20230510-12-53-34_ses-20230510T125334_ophys,0.08921568626576318,0.7913043471379962,0.16035240466813072
sub-20230904-14-30-52_ses-20230904T143052_ophys,0.2278761061442752,0.7410071937115057,0.34856172363570104
