Filename,Best_template,top1,top2,top3,top4,top5,cost
6,4,0.7964601769911505,0.8495575221238938,0.8584070796460177,0.8761061946902655,0.8761061946902655,4.9933769808831
7,9,0.7863247863247863,0.8888888888888888,0.9316239316239316,0.9316239316239316,0.9401709401709402,4.436097919021757
2022-12-21-06,2023-01-09-22,0.5223880597014925,0.6417910447761194,0.6865671641791045,0.7313432835820896,0.7313432835820896,5.711879983962159
20221106-21-00-09,20221215-20-02-49,0.4655172413793103,0.646551724137931,0.7068965517241379,0.75,0.7931034482758621,4.909364844677216
20230322-20-16-50,20230506-15-33-51,0.5691056910569106,0.7154471544715447,0.7642276422764228,0.7723577235772358,0.7804878048780488,4.807610196590102
5,4,0.8699186991869918,0.902439024390244,0.926829268292683,0.926829268292683,0.934959349593496,4.436739278058418
2023-01-06-08,2022-08-02-01,0.5955056179775281,0.7528089887640449,0.7865168539325843,0.8089887640449438,0.8089887640449438,7.179458265884037
4,1,0.819672131147541,0.8934426229508197,0.9016393442622952,0.9016393442622952,0.9016393442622952,3.8861688514412154
20230918-17-21-0,20230928-16-0-0,0.3076923076923077,0.4038461538461538,0.4358974358974359,0.4551282051282051,0.5,9.58228619056862
2021-12-03-w00-NP1,2022-04-26-w01-NP1,0.6627906976744186,0.7325581395348837,0.75,0.7558139534883721,0.7674418604651163,6.4217496341264
20221106-21-47-31,20221215-20-02-49,0.358974358974359,0.4871794871794871,0.5811965811965812,0.6153846153846154,0.6239316239316239,4.047949587511832
20230322-22-43-03,20230322-21-41-10,0.680672268907563,0.7478991596638656,0.7815126050420168,0.7983193277310925,0.8067226890756303,4.162728427435841
20230506-12-56-00,20230904-15-09-05,0.4851485148514851,0.5841584158415841,0.6633663366336634,0.7326732673267327,0.7920792079207921,3.9887033328756223
20230506-14-24-57,20230904-14-30-52,0.4134615384615384,0.5384615384615384,0.6442307692307693,0.7211538461538461,0.7596153846153846,3.401471786051163
1,4,0.8053097345132744,0.8761061946902655,0.8938053097345132,0.9026548672566372,0.911504424778761,3.879334183668977
38_YAaDV,76_YAaDV,0.4744897959183674,0.5816326530612245,0.6428571428571429,0.673469387755102,0.6989795918367347,7.64429556837282
2023-01-16-08,2022-08-02-01,0.6770833333333334,0.7916666666666666,0.8125,0.8229166666666666,0.84375,6.844995899764591
20230510-13-25-46,20230506-15-01-45,0.5752212389380531,0.6902654867256637,0.7699115044247787,0.7699115044247787,0.7699115044247787,3.1177596855306797
