Filename,Best_template,top1,top2,top3,top4,top5,cost
6,2,0.6194690265486725,0.672566371681416,0.7433628318584071,0.7522123893805309,0.7610619469026548,4.432299998743502
7,9,0.8547008547008547,0.8888888888888888,0.9230769230769232,0.9230769230769232,0.9316239316239316,6.218977242524291
2022-12-21-06,2023-01-17-14,0.4328358208955223,0.5671641791044776,0.6417910447761194,0.7014925373134329,0.7611940298507462,6.094840149955677
20221106-21-00-09,20221215-20-02-49,0.5603448275862069,0.7068965517241379,0.8189655172413793,0.8362068965517241,0.8620689655172413,4.023531135850504
20230322-20-16-50,20230322-21-41-10,0.5447154471544715,0.6504065040650406,0.7154471544715447,0.7154471544715447,0.7154471544715447,3.950113408710613
5,4,0.7073170731707317,0.8292682926829268,0.8861788617886179,0.9105691056910568,0.926829268292683,3.696614721301484
2023-01-06-08,2022-08-02-01,0.5842696629213483,0.7528089887640449,0.797752808988764,0.8202247191011236,0.8314606741573034,6.025210022637889
4,1,0.7622950819672131,0.8442622950819673,0.8688524590163934,0.8934426229508197,0.9016393442622952,3.641298612247818
20230918-17-21-0,20230918-13-21-0,0.3397435897435897,0.4102564102564102,0.4551282051282051,0.5,0.5256410256410257,16.59120692158135
2021-12-03-w00-NP1,2022-04-26-w01-NP1,0.622093023255814,0.7034883720930233,0.7267441860465116,0.7325581395348837,0.7558139534883721,5.536111710891905
20221106-21-47-31,20221215-20-02-49,0.376068376068376,0.5128205128205128,0.5811965811965812,0.6324786324786325,0.6666666666666666,6.655662799156942
20230322-22-43-03,20230322-20-16-50,0.4369747899159664,0.5546218487394958,0.6050420168067226,0.6470588235294118,0.6638655462184874,5.264335902725219
20230506-12-56-00,20230510-12-53-34,0.4257425742574257,0.4851485148514851,0.5445544554455446,0.5643564356435643,0.5742574257425742,3.1798994924973942
20230506-14-24-57,20230904-14-30-52,0.3365384615384615,0.4519230769230769,0.5865384615384616,0.6826923076923077,0.7307692307692307,3.6992058947183257
1,4,0.7345132743362832,0.8141592920353983,0.8672566371681416,0.8938053097345132,0.9026548672566372,3.677891829506389
38_YAaDV,70_YAaLR,0.0306122448979591,0.0561224489795918,0.1224489795918367,0.1377551020408163,0.2040816326530612,10.54595679763056
2023-01-16-08,2023-01-10-07,0.3125,0.4583333333333333,0.5729166666666666,0.6145833333333334,0.6770833333333334,6.290385895731133
