,Filename,Best_template,top1,top2,top3,top4,top5
0,6,7_YAaLR,0.11940298507462686,0.16417910447761194,0.22388059701492538,0.2537313432835821,0.2835820895522388
1,7,76_YAaDV,0.15384615384615385,0.27692307692307694,0.36923076923076925,0.4153846153846154,0.46153846153846156
2,2022-12-21-06,62_YAaLR,0.037037037037037035,0.09259259259259259,0.12962962962962962,0.18518518518518517,0.25925925925925924
3,20221106-21-00-09,56_YAaDV,0.09090909090909091,0.15151515151515152,0.18181818181818182,0.2727272727272727,0.2727272727272727
4,20230322-20-16-50,56_YAaDV,0.11363636363636363,0.13636363636363635,0.1590909090909091,0.18181818181818182,0.22727272727272727
5,5,7_YAaLR,0.046875,0.078125,0.09375,0.140625,0.171875
6,2023-01-06-08,56_YAaDV,0.1527777777777778,0.20833333333333334,0.2638888888888889,0.375,0.375
7,4,38_YAaDV,0.12698412698412698,0.23809523809523808,0.30158730158730157,0.31746031746031744,0.3333333333333333
8,20230918-17-21-0,56_YAaDV,0.3269230769230769,0.42948717948717946,0.5448717948717948,0.6282051282051282,0.6730769230769231
9,2021-12-03-w00-NP1,56_YAaDV,0.15789473684210525,0.17543859649122806,0.21052631578947367,0.22807017543859648,0.2631578947368421
10,20221106-21-47-31,56_YAaDV,0.16981132075471697,0.24528301886792453,0.2830188679245283,0.3018867924528302,0.33962264150943394
11,20230322-22-43-03,56_YAaDV,0.09523809523809523,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.21428571428571427
12,20230506-12-56-00,56_YAaDV,0.0851063829787234,0.1276595744680851,0.14893617021276595,0.19148936170212766,0.2127659574468085
13,20230506-14-24-57,56_YAaDV,0.058823529411764705,0.11764705882352941,0.1568627450980392,0.21568627450980393,0.2549019607843137
14,1,7_YAaLR,0.11290322580645161,0.1774193548387097,0.24193548387096775,0.25806451612903225,0.3225806451612903
15,38_YAaDV,38_YAaDV,1.0,1.0,1.0,1.0,1.0
16,2023-01-16-08,56_YAaDV,0.07352941176470588,0.1323529411764706,0.14705882352941177,0.20588235294117646,0.23529411764705882
17,20230510-13-25-46,56_YAaDV,0.06521739130434782,0.06521739130434782,0.08695652173913043,0.10869565217391304,0.13043478260869565
18,56_YAaDV,56_YAaDV,1.0,1.0,1.0,1.0,1.0
