#,k fold group,Dandi_id,Dataset,Filename,top1,top2,top3,top4,top5
68,3,776,SF,2023-01-17-07,0.670886076,0.784810127,0.873417722,0.911392405,0.924050633
69,3,776,SF,2023-01-23-21,0.56097561,0.792682927,0.841463415,0.87804878,0.926829268
70,3,565,SK1,20230322-22-43-03,0.5,0.595238095,0.642857143,0.69047619,0.785714286
71,3,565,SK1,20230510-12-53-34,0.469387755,0.612244898,0.714285714,0.755102041,0.836734694
72,3,565,SK1,20230909-16-48-09,0.472222222,0.666666667,0.75,0.861111111,0.888888889
73,3,692,KK,20230918-13-21-0,0.362416107,0.469798658,0.516778523,0.583892617,0.630872483
74,3,692,KK,20230928-11-14-0,0.47133758,0.585987261,0.649681529,0.707006369,0.732484076
75,3,714,HL,4,0.714285714,0.825396825,0.920634921,0.968253968,1
76,3,714,HL,9,0.797101449,0.898550725,0.942028986,0.942028986,0.956521739
77,4,541,EY,20190928_03,0.389221557,0.526946108,0.610778443,0.652694611,0.71257485
78,4,541,EY,20190928_11,0.384180791,0.570621469,0.638418079,0.694915254,0.768361582
79,4,541,EY,20190929_06,0.457142857,0.588571429,0.662857143,0.685714286,0.72
80,4,541,EY,20191030_07,0.394285714,0.52,0.622857143,0.691428571,0.725714286
81,4,472,SK2,2022-02-11-w03-NP1,0.697674419,0.88372093,0.930232558,0.976744186,1
82,4,472,SK2,2022-04-01-w00-NP1,0.477272727,0.636363636,0.795454545,0.909090909,0.909090909
83,4,776,SF,2022-06-14-01,0.690909091,0.836363636,0.872727273,0.909090909,0.945454545
84,4,776,SF,2022-06-14-13,0.565217391,0.666666667,0.68115942,0.739130435,0.782608696
85,4,565,SK1,20221106-21-47-31,0.490566038,0.622641509,0.698113208,0.773584906,0.773584906
86,4,776,SF,2023-01-06-01,0.227272727,0.257575758,0.318181818,0.393939394,0.409090909
87,4,776,SF,2023-01-06-08,0.513888889,0.652777778,0.708333333,0.763888889,0.805555556
88,4,776,SF,2023-01-17-01,0.493975904,0.686746988,0.795180723,0.843373494,0.891566265
89,4,776,SF,2023-01-19-08,0.109090909,0.127272727,0.181818182,0.2,0.218181818
90,4,565,SK1,20230506-15-33-51,0.454545455,0.568181818,0.704545455,0.75,0.772727273
91,4,565,SK1,20230904-14-30-52,0.524390244,0.634146341,0.719512195,0.768292683,0.804878049
92,4,565,SK1,20230904-15-59-40,0.375,0.482142857,0.607142857,0.696428571,0.767857143
93,4,692,KK,20230928-14-27-0,0.41025641,0.532051282,0.621794872,0.653846154,0.698717949
94,4,714,HL,5,0.78125,0.875,0.9375,0.96875,0.984375
