worm,precision,recall,f1_score
sub-20190928-05_ses-20190928_ophys,0.566666666288889,0.49418604622431045,0.5279502604644929
sub-20190928-08_ses-20190928_ophys,0.4338235290927768,0.32240437140852224,0.3699059069663295
sub-20190928-13_ses-20190928_ophys,0.9523809517330742,0.7999999995428572,0.8695651672292765
sub-20190928-11_ses-20190928_ophys,0.2896551722140309,0.23204419876682641,0.25766866210810546
sub-20191030-03_ses-20191030_ophys,0.4130434779615627,0.3081081079415632,0.35294112731072574
sub-20190929-02_ses-20190929_ophys,0.4624999997109375,0.44578313226157645,0.45398767979977217
sub-20190929-05_ses-20190929_ophys,0.4202898547679059,0.3411764703875433,0.3766233269185425
sub-20190928-03_ses-20190928_ophys,0.3048128340615974,0.3392857140837585,0.32112671052569713
sub-20190928-07_ses-20190928_ophys,0.6569343060898291,0.49999999972222225,0.5678232944103376
sub-20191030-07_ses-20191030_ophys,0.38775510177703737,0.31666666649074077,0.34862380350700706
sub-20190929-03_ses-20190929_ophys,0.8636363630755608,0.7471910108161849,0.8012047690557442
sub-20190925-04_ses-20190925_ophys,0.32167832145337183,0.2598870055028887,0.28749995038477416
sub-20190924-03_ses-20190924_ophys,0.36923076894674556,0.25531914880036216,0.3018867439262765
sub-20191104-08_ses-20191104_ophys,0.5075757571912305,0.37430167576854656,0.43086811806743663
sub-20190924-01_ses-20190924_ophys,0.3354430377623778,0.2928176793962333,0.3126843158274024
sub-20190929-06_ses-20190929_ophys,0.40764331184226543,0.3595505615957581,0.38208950220717963
